,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
2320,2320,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 266라3654,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2188235&gubun=I,2022.01,"8,000 km",가솔린,"2,995 cc (347마력)",회색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,무,미등록,,,,,,,,,
2322,2322,포르쉐 카이엔 3세대  3.0 쿠페 플래티넘 에디션???,차량번호 193주3471,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200761&gubun=I,2023.01,"6,000 km",가솔린,"2,995 cc (347마력)",기타색상 (크레용),"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2325,2325,포르쉐 카이엔 3세대  3.0 플래티넘 에디션???,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191537&gubun=I,2022.00,33 km,가솔린,"2,995 cc (347마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,무,미등록,,,,,,,,,
2327,2327,포르쉐 카이엔 2세대  3.0 디젤 플래티넘 에디션???,차량번호 14도5332,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205136&gubun=I,2017.02,"68,186 km",디젤,"2,967 cc (262마력)",흰색,불가,[가격상담],준비중,무,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
2329,2329,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 371러5240,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201176&gubun=I,2021.05,"32,600 km",가솔린,"2,995 cc (344마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2330,2330,포르쉐 카이엔 3세대  3.0 -???,차량번호 245고2226,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2188252&gubun=I,2021.01,"8,100 km",가솔린,"2,995 cc (344마력)",기타색상,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2331,2331,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 397보1910,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175156&gubun=I,2020.11?(21년형),"9,134 km",가솔린,"2,995 cc (344마력)",갈색 (크레용),"48개월 / 999,999km",[가격상담],준비중,,,,,,,,,,,등록,,,,,,,,,
2333,2333,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 140너6111,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203395&gubun=I,2023.01,"3,800 km",가솔린,"2,995 cc (347마력)",흰색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2334,2334,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 235무6210,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177397&gubun=I,2020.06,"41,000 km",가솔린,"2,995 cc (340마력)",진회색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2335,2335,포르쉐 카이엔 3세대  3.0 -???,차량번호 196다2620,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177812&gubun=I,2019.04,"40,000 km",가솔린,"2,995 cc (340마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2337,2337,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 145거4067,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2187246&gubun=I,2022.06,"9,156 km",가솔린,"2,995 cc (347마력)",회색 (크레용),"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2338,2338,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 321두1312,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2188531&gubun=I,2022.02,"7,000 km",가솔린,"2,995 cc (347마력)",검정색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2339,2339,포르쉐 카이엔 3세대  3.0 -???,차량번호 20마7890,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182054&gubun=I,2019.04,"49,400 km",가솔린,"2,995 cc (340마력)",흰색,만료,[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
2340,2340,포르쉐 카이엔 3세대  3.0 쿠페 -???,차량번호 266라3654,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2188235&gubun=I,2022.01,"8,000 km",가솔린,"2,995 cc (347마력)",회색,"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,무,미등록,,,,,,,,,
2342,2342,포르쉐 카이엔 3세대  3.0 쿠페 플래티넘 에디션???,차량번호 193주3471,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200761&gubun=I,2023.01,"6,000 km",가솔린,"2,995 cc (347마력)",기타색상 (크레용),"48개월 / 999,999km",[가격상담],준비중,무,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
